Title	Link	tag00	tag01	tag02	tag03	tag04	tag05	tag06	tag07	tag08	tag09	tag10	tag11	tag12	tag13	tag14
Do Deep Nets Really Need to be Deep?	https://arxiv.org/abs/1312.6184	papers	neural-networks	deep-learning	universal-approximator											
The Matrix Calculus You Need For Deep Learning	https://arxiv.org/abs/1802.01528v2	papers	linear-algebra	deep-learning	mathematics											
Mathematics of Deep Learning	https://arxiv.org/pdf/1712.04741.pdf	papers	deep-learning	mathematics												
Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift	https://arxiv.org/abs/1502.03167	papers	deep-learning	optimization												
How Does Batch Normalization Help Optimization? (No, It Is Not About Internal Covariate Shift)	https://arxiv.org/pdf/1805.11604.pdf	papers	deep-learning	optimization												
Cramer-Rao Lower Bound and Information Geometry	https://arxiv.org/pdf/1301.3578.pdf	papers	mathematics	statistics												
Multi-Step Reinforcement Learning: A Unifying Algorithm	https://arxiv.org/pdf/1703.01327.pdf	papers	reinforcement-learning													
Are Loss Functions All the Same?	https://ieeexplore.ieee.org/document/6789841/?reload=true&arnumber=6789841&abstractAccess=no&userType=inst	papers	machine-learning	statistics												
Mitsuku	https://www.pandorabots.com/mitsuku/	websites	artificial-intelligence	natural-language-processing	turing-test											
Attention and Augmented Recurrent Neural Networks	https://distill.pub/2016/augmented-rnns/	readings	recurrent-neural-networks	deep-learning												
Neural Machine Translation by Jointly Learning to Align and Translate	https://arxiv.org/abs/1409.0473	papers	recurrent-neural-networks	natural-language-processing	deep-learning											
Show, Attend and Tell: Neural Image Caption Generation with Visual Attention	https://arxiv.org/abs/1502.03044	papers	deep-learning	natural-language-processing												
A Neural Conversational Model	https://arxiv.org/abs/1506.05869	papers	deep-learning	natural-language-processing												
Listen, Attend and Spell	https://arxiv.org/abs/1508.01211	papers	deep-learning	natural-language-processing												
Learning Deep Architectures for AI	https://www.iro.umontreal.ca/~lisa/pointeurs/TR1312.pdf	papers	deep-learning	artificial-intelligence	machine-learning											
Generative Adversarial Networks	https://arxiv.org/abs/1406.2661	papers	deep-learning	neural-networks												
How to Read a Book	http://crap.sceleris.net/HowtoReadABook.pdf	books	non-fiction													
Proofs from the BOOK	http://www.bioinfo.org.cn/~wangchao/maa/r.Proofs_from_THE_BOOK_4th.pdf	textbooks	mathematics													
Six not-so-easy pieces	https://nirstern.files.wordpress.com/2016/04/six-not-so-easy-pieces.pdf	books	physics													
Towards Semantics-directed System Design and Synthesis	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.217.7207&rep=rep1&type=pdf	papers	computer-programming	computer-security												
The Linux Documentation Project	http://www.tldp.org/guides.html	websites	linux													
Dynamic Potential-Based Reward Shaping	https://pure.york.ac.uk/portal/files/20881006/aamas2012.pdf	papers	reward-shaping	reinforcement-learning												
Reward Shaping in Episodic Reinforcement Learning	https://pdfs.semanticscholar.org/41c5/0331ed5d3ffa51d879cc2e1a675c99445bc3.pdf	papers	reward-shaping	reinforcement-learning												
Improving Exploration in Reinforcement Learning through Domain Knowledge and Parameter Analysis	http://etheses.whiterose.ac.uk/936/1/grzes10thesis.pdf	thesis	reward-shaping	reinforcement-learning												
A Relational Model of Data for Large Shared Data Banks	https://www.seas.upenn.edu/~zives/03f/cis550/codd.pdf	papers	databases	computer-science	logic											
Tendermint: Byzantine Fault Tolerance in the Age of Blockchains	https://allquantor.at/blockchainbib/pdf/buchman2016tendermint.pdf	thesis	blockchain	distributed-systems												
How not to lie with statistics: the correct way to summarize benchmark results	http://www.cse.unsw.edu.au/~cs9242/15/papers/Fleming_Wallace_86.pdf	papers	statistics													
The Best of the 20th Century: Editors Name Top 10 Algorithms	http://www.uta.edu/faculty/rcli/TopTen/topten.pdf	readings	algorithms													
The Theory of Dynamic Programming	https://www.rand.org/content/dam/rand/pubs/papers/2008/P550.pdf	papers	algorithms													
Recall for words as a function of semantic, graphic, and syntactic orienting tasks	https://www.sciencedirect.com/science/article/pii/S0022537173800271	papers	psychology	human-learning												
The Pen Is Mightier Than the Keyboard	http://journals.sagepub.com/doi/abs/10.1177/0956797614524581	papers	psychology	human-learning												
Tracing the Trajectory of Skill Learning With a Very Large Sample of Online Game Players	papers	psychology	human-learning													
The human emotional brain without sleep - a prefrontal amygdala disconnect	https://walkerlab.berkeley.edu/reprints/Yoo-Walker_CurrBiol_2007.pdf	papers	psychology	sleep												
Simon Says Don’t Use Flashcards	https://well.blogs.nytimes.com/2012/08/23/simon-says-dont-use-flashcards/	readings	psychology	human-learning												
Somnus Inventa Center for Human Sleep Science	https://www.humansleepscience.com/	websites	psychology	neuroscience	sleep											
Google Style Guides	https://google.github.io/styleguide/	readings	best-practices	computer-programming												
The NumPy array: a structure for efficient numerical computation	https://arxiv.org/pdf/1102.1523.pdf	papers	computer-programming	python	numpy											
Introduction to the Theory of Computation	https://theswissbay.ch/pdf/Book/Introduction%20to%20the%20theory%20of%20computation_third%20edition%20-%20Michael%20Sipser.pdf	textbooks	computer-science													
How to solve it - A new Aspect of Mathematical Method	https://math.hawaii.edu/home/pdf/putnam/PolyaHowToSolveIt.pdf	books	mathematics	problem-solving												
The Road to Reality, A Complete Guide to The Laws of The Universe	http://download.library1.org/main/12000/1c09b051ba30541016ff37ef23428485/Roger%20Penrose-The%20road%20to%20reality-Vintage%20%282007%29.pdf	textbooks	mathematics	physics												
Interpreting Mathematics in Physics: Charting the Applications of SU(2) in 20th Century Physics	https://arxiv.org/pdf/physics/0605012.pdf	papers	mathematics	physics												
List of important publications in theoretical computer science	https://en.wikipedia.org/wiki/List_of_important_publications_in_theoretical_computer_science	readings	computer-science													
List of important publications in mathematics	https://en.wikipedia.org/wiki/List_of_important_publications_in_mathematics	readings	mathematics													
The complexity of theorem proving procedures	http://www.cs.toronto.edu/~sacook/homepage/1971.pdf	papers	computer-science													
Tor: The Second-Generation Onion Router	https://svn.torproject.org/svn/projects/design-paper/tor-design.pdf	papers	distributed-systems	computer-security												
Incentives Build Robustness in BitTorrent	http://bittorrent.org/bittorrentecon.pdf	papers	distributed-systems													
Chord: A Scalable Peer-to-peer Lookup Service for Internet Application	http://nms.csail.mit.edu/papers/chord.pdf	papers	distributed-systems													
The Akamai Network: A Platform for High-Performance Internet Applications	https://www.cs.rutgers.edu/~rmartin/teaching/fall15/papers/arch2/cdn.pdf	papers	distributed-systems													
The Part-Time Parliament	https://lamport.azurewebsites.net/pubs/lamport-paxos.pdf	papers	distributed-systems	algorithms												
Paxos Made Simple	https://lamport.azurewebsites.net/pubs/paxos-simple.pdf	papers	distributed-systems	algorithms												
A Simpler Proof for Paxos and Fast Paxos	http://wwwusers.di.uniroma1.it/~mei/SistemiDistribuiti/Schedule_files/fastpaxosfordummies.pdf	papers	distributed-systems	algorithms												
The PageRank Citation Ranking: Bringing Order to the Web	https://www.cis.upenn.edu/~mkearns/teaching/NetworkedLife/pagerank.pdf	papers	information-retrieval	algorithms												
The Stationary Distribution of a Markov Chain	http://twiki.di.uniroma1.it/pub/Algoreti/WebHome0708/pagerankPanconesi.pdf	readings	mathematics	algorithms												
Python 3 Patterns, Recipes and Idioms	https://python-3-patterns-idioms-test.readthedocs.io/en/latest/index.html#python-3-patterns-recipes-and-idioms	websites	computer-programming	python	software-engineering											
Jeffrey Dean's website	https://ai.google/research/people/jeff	websites	software-engineering													
Building Software Systems at Google and Lessons Learned	https://static.googleusercontent.com/media/research.google.com/en//people/jeff/Stanford-DL-Nov-2010.pdf	readings	software-engineering													
Clever Algorithms: Nature-Inspired Programming Recipes	http://www.cleveralgorithms.com/nature-inspired/index.html	textbooks	algorithms													
Type Theory and Functional Programming	https://www.cs.kent.ac.uk/people/staff/sjt/TTFP/	textbooks	computer-science	logic	type-theory											
Writing a Simple Operating System - from Scratch	http://www.cs.bham.ac.uk/%7Eexr/lectures/opsys/10_11/lectures/os-dev.pdf	textbooks	operating-systems	computer-programming												
Crypto101	https://www.crypto101.io/	textbooks	computer-security													
Book of Proof	http://www.people.vcu.edu/%7Erhammack/BookOfProof/	textbooks	mathematics	logic												
How to prove it - A Structural Approach	http://users.metu.edu.tr/serge/courses/111-2011/textbook-math111.pdf	textbooks	mathematics	logic												
How to make an Operating System	https://legacy.gitbook.com/book/samypesse/how-to-create-an-operating-system/details	textbooks	operating-systems													
OSDev.org	https://wiki.osdev.org/Expanded_Main_Page	websites	operating-systems													
How to write a simple operating system	http://mikeos.sourceforge.net/write-your-own-os.html	websites	operating-systems													
Handbook of Applied Cryptography	http://cacr.uwaterloo.ca/hac/index.html	textbooks	computer-security	cryptography												
The Linux Programmer’s Toolbox	https://doc.lagout.org/operating%20system%20/linux/The%20Linux%20Programmer%27s%20Toolbox.pdf	textbooks	operating-systems	computer-programming	linux											
